Date,RHA,Daily_Cases,Cumulative_Cases,Active_Cases,Recoveries,Deaths
2020/05/22 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/22 05:00:00+00,Winnipeg,0,213,3,205,5
2020/05/22 05:00:00+00,All,0,292,3,282,7
2020/05/23 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/23 05:00:00+00,Northern,0,3,0,3,0
2020/05/23 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/05/23 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/23 05:00:00+00,Winnipeg,0,213,3,205,5
2020/05/23 05:00:00+00,All,0,292,3,282,7
2020/05/24 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/24 05:00:00+00,Northern,0,3,0,3,0
2020/05/24 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/05/24 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/24 05:00:00+00,Winnipeg,0,213,3,205,5
2020/05/24 05:00:00+00,All,0,292,3,282,7
2020/05/25 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/25 05:00:00+00,Northern,0,3,0,3,0
2020/05/25 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/05/25 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/25 05:00:00+00,Winnipeg,0,213,2,206,5
2020/05/25 05:00:00+00,All,0,292,2,283,7
2020/05/26 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/26 05:00:00+00,Northern,0,3,0,3,0
2020/05/26 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/05/26 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/26 05:00:00+00,Winnipeg,2,215,4,206,5
2020/05/26 05:00:00+00,All,2,294,4,283,7
2020/05/27 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/27 05:00:00+00,Northern,0,3,0,3,0
2020/05/27 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/05/27 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/27 05:00:00+00,Winnipeg,0,215,4,206,5
2020/05/27 05:00:00+00,All,0,294,4,283,7
2020/05/28 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/28 05:00:00+00,Northern,0,3,0,3,0
2020/05/28 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/05/28 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/28 05:00:00+00,Winnipeg,0,215,4,206,5
2020/05/28 05:00:00+00,All,0,294,4,283,7
2020/05/29 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/29 05:00:00+00,Northern,0,3,0,3,0
2020/05/29 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/05/29 05:00:00+00,Southern Health-Santé Sud,0,30,0,29,1
2020/05/29 05:00:00+00,Winnipeg,0,215,4,206,5
2020/05/29 05:00:00+00,All,0,294,4,283,7
2020/05/30 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/30 05:00:00+00,Northern,0,3,0,3,0
2020/05/30 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/05/30 05:00:00+00,Southern Health-Santé Sud,1,31,1,29,1
2020/05/30 05:00:00+00,Winnipeg,0,215,4,206,5
2020/05/30 05:00:00+00,All,1,295,5,283,7
2020/05/31 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/05/31 05:00:00+00,Northern,0,3,0,3,0
2020/05/31 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/05/31 05:00:00+00,Southern Health-Santé Sud,0,31,1,29,1
2020/05/31 05:00:00+00,Winnipeg,0,215,4,206,5
2020/05/31 05:00:00+00,All,0,295,5,283,7
2020/06/01 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/01 05:00:00+00,Northern,0,3,0,3,0
2020/06/01 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/01 05:00:00+00,Southern Health-Santé Sud,3,34,4,29,1
2020/06/01 05:00:00+00,Winnipeg,0,215,4,206,5
2020/06/01 05:00:00+00,All,3,298,8,283,7
2020/06/02 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/02 05:00:00+00,Northern,0,3,0,3,0
2020/06/02 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/02 05:00:00+00,Southern Health-Santé Sud,0,34,4,29,1
2020/06/02 05:00:00+00,Winnipeg,0,215,2,208,5
2020/06/02 05:00:00+00,All,0,298,6,285,7
2020/06/03 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/03 05:00:00+00,Northern,0,3,0,3,0
2020/06/03 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/03 05:00:00+00,Southern Health-Santé Sud,0,34,4,29,1
2020/06/03 05:00:00+00,Winnipeg,2,217,4,208,5
2020/06/03 05:00:00+00,All,2,300,8,285,7
2020/06/04 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/04 05:00:00+00,Northern,0,3,0,3,0
2020/06/04 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/04 05:00:00+00,Southern Health-Santé Sud,0,34,4,29,1
2020/06/04 05:00:00+00,Winnipeg,0,217,4,208,5
2020/06/04 05:00:00+00,All,0,300,8,285,7
2020/06/05 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/05 05:00:00+00,Northern,0,3,0,3,0
2020/06/05 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/05 05:00:00+00,Southern Health-Santé Sud,0,34,4,29,1
2020/06/05 05:00:00+00,Winnipeg,0,217,4,208,5
2020/06/05 05:00:00+00,All,0,300,8,285,7
2020/06/06 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/06 05:00:00+00,Northern,0,3,0,3,0
2020/06/06 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/06 05:00:00+00,Southern Health-Santé Sud,0,34,4,29,1
2020/06/06 05:00:00+00,Winnipeg,0,217,4,208,5
2020/06/06 05:00:00+00,All,0,300,8,285,7
2020/06/07 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/07 05:00:00+00,Northern,0,3,0,3,0
2020/06/07 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/07 05:00:00+00,Southern Health-Santé Sud,0,34,4,29,1
2020/06/07 05:00:00+00,Winnipeg,0,217,4,208,5
2020/06/07 05:00:00+00,All,0,300,8,285,7
2020/06/08 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/08 05:00:00+00,Northern,0,3,0,3,0
2020/06/08 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/08 05:00:00+00,Southern Health-Santé Sud,0,34,3,30,1
2020/06/08 05:00:00+00,Winnipeg,0,217,2,210,5
2020/06/08 05:00:00+00,All,0,300,5,288,7
2020/06/09 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/09 05:00:00+00,Northern,0,3,0,3,0
2020/06/09 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/09 05:00:00+00,Southern Health-Santé Sud,0,34,3,30,1
2020/06/09 05:00:00+00,Winnipeg,0,217,2,210,5
2020/06/09 05:00:00+00,All,0,300,5,288,7
2020/06/10 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/10 05:00:00+00,Northern,0,3,0,3,0
2020/06/10 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/10 05:00:00+00,Southern Health-Santé Sud,0,34,3,30,1
2020/06/10 05:00:00+00,Winnipeg,0,217,2,210,5
2020/06/10 05:00:00+00,All,0,300,5,288,7
2020/06/11 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/11 05:00:00+00,Northern,0,3,0,3,0
2020/06/11 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/11 05:00:00+00,Southern Health-Santé Sud,0,34,3,30,1
2020/06/11 05:00:00+00,Winnipeg,1,218,2,211,5
2020/06/11 05:00:00+00,All,1,301,5,289,7
2020/06/12 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/12 05:00:00+00,Northern,0,3,0,3,0
2020/06/12 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/12 05:00:00+00,Southern Health-Santé Sud,0,34,3,30,1
2020/06/12 05:00:00+00,Winnipeg,2,220,4,211,5
2020/06/12 05:00:00+00,All,2,303,7,289,7
2020/06/13 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/13 05:00:00+00,Northern,0,3,0,3,0
2020/06/13 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/13 05:00:00+00,Southern Health-Santé Sud,0,34,0,33,1
2020/06/13 05:00:00+00,Winnipeg,1,221,5,211,5
2020/06/13 05:00:00+00,All,1,304,5,292,7
2020/06/14 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/14 05:00:00+00,Northern,0,3,0,3,0
2020/06/14 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/14 05:00:00+00,Southern Health-Santé Sud,0,34,0,33,1
2020/06/14 05:00:00+00,Winnipeg,0,221,5,211,5
2020/06/14 05:00:00+00,All,0,304,5,292,7
2020/06/15 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/15 05:00:00+00,Northern,0,3,0,3,0
2020/06/15 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/15 05:00:00+00,Southern Health-Santé Sud,0,34,0,33,1
2020/06/15 05:00:00+00,Winnipeg,0,221,4,212,5
2020/06/15 05:00:00+00,All,0,304,4,293,7
2020/06/16 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/16 05:00:00+00,Northern,0,3,0,3,0
2020/06/16 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/16 05:00:00+00,Southern Health-Santé Sud,0,34,0,33,1
2020/06/16 05:00:00+00,Winnipeg,2,223,6,212,5
2020/06/16 05:00:00+00,All,2,306,6,293,7
2020/06/17 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/17 05:00:00+00,Northern,0,3,0,3,0
2020/06/17 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/17 05:00:00+00,Southern Health-Santé Sud,0,34,0,33,1
2020/06/17 05:00:00+00,Winnipeg,2,225,8,212,5
2020/06/17 05:00:00+00,All,2,308,8,293,7
2020/06/18 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/18 05:00:00+00,Northern,0,3,0,3,0
2020/06/18 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/18 05:00:00+00,Southern Health-Santé Sud,0,34,0,33,1
2020/06/18 05:00:00+00,Winnipeg,1,226,9,212,5
2020/06/18 05:00:00+00,All,1,309,9,293,7
2020/06/19 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/19 05:00:00+00,Northern,0,3,0,3,0
2020/06/19 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/19 05:00:00+00,Southern Health-Santé Sud,2,36,2,33,1
2020/06/19 05:00:00+00,Winnipeg,2,228,11,212,5
2020/06/19 05:00:00+00,All,4,313,13,293,7
2020/06/20 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/20 05:00:00+00,Northern,0,3,0,3,0
2020/06/20 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/20 05:00:00+00,Southern Health-Santé Sud,0,36,2,33,1
2020/06/20 05:00:00+00,Winnipeg,0,228,11,212,5
2020/06/20 05:00:00+00,All,0,313,13,293,7
2020/06/21 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/21 05:00:00+00,Northern,0,3,0,3,0
2020/06/21 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/21 05:00:00+00,Southern Health-Santé Sud,1,37,3,33,1
2020/06/21 05:00:00+00,Winnipeg,0,228,11,212,5
2020/06/21 05:00:00+00,All,1,314,14,293,7
2020/06/22 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/22 05:00:00+00,Northern,0,3,0,3,0
2020/06/22 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/22 05:00:00+00,Southern Health-Santé Sud,0,37,3,33,1
2020/06/22 05:00:00+00,Winnipeg,1,229,11,213,5
2020/06/22 05:00:00+00,All,1,315,14,294,7
2020/06/23 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/23 05:00:00+00,Northern,0,3,0,3,0
2020/06/23 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/23 05:00:00+00,Southern Health-Santé Sud,0,37,3,33,1
2020/06/23 05:00:00+00,Winnipeg,0,229,10,214,5
2020/06/23 05:00:00+00,All,0,315,13,295,7
2020/06/24 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/24 05:00:00+00,Northern,0,3,0,3,0
2020/06/24 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/24 05:00:00+00,Southern Health-Santé Sud,1,38,4,33,1
2020/06/24 05:00:00+00,Winnipeg,0,229,7,217,5
2020/06/24 05:00:00+00,All,1,316,11,298,7
2020/06/25 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/25 05:00:00+00,Northern,0,3,0,3,0
2020/06/25 05:00:00+00,Prairie Mountain Health,0,26,0,25,1
2020/06/25 05:00:00+00,Southern Health-Santé Sud,0,38,2,35,1
2020/06/25 05:00:00+00,Winnipeg,2,231,7,219,5
2020/06/25 05:00:00+00,All,2,318,9,302,7
2020/06/26 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/26 05:00:00+00,Northern,0,3,0,3,0
2020/06/26 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/06/26 05:00:00+00,Southern Health-Santé Sud,2,40,4,35,1
2020/06/26 05:00:00+00,Winnipeg,2,233,9,219,5
2020/06/26 05:00:00+00,All,4,322,12,303,7
2020/06/27 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/27 05:00:00+00,Northern,0,3,0,3,0
2020/06/27 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/06/27 05:00:00+00,Southern Health-Santé Sud,0,40,4,35,1
2020/06/27 05:00:00+00,Winnipeg,0,233,6,222,5
2020/06/27 05:00:00+00,All,0,322,9,306,7
2020/06/28 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/28 05:00:00+00,Northern,0,3,0,3,0
2020/06/28 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/06/28 05:00:00+00,Southern Health-Santé Sud,0,40,4,35,1
2020/06/28 05:00:00+00,Winnipeg,2,235,8,222,5
2020/06/28 05:00:00+00,All,2,324,11,306,7
2020/06/29 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/29 05:00:00+00,Northern,0,3,0,3,0
2020/06/29 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/06/29 05:00:00+00,Southern Health-Santé Sud,0,40,4,35,1
2020/06/29 05:00:00+00,Winnipeg,1,236,8,223,5
2020/06/29 05:00:00+00,All,1,325,11,307,7
2020/06/30 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/06/30 05:00:00+00,Northern,0,3,0,3,0
2020/06/30 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/06/30 05:00:00+00,Southern Health-Santé Sud,0,40,2,37,1
2020/06/30 05:00:00+00,Winnipeg,0,236,8,223,5
2020/06/30 05:00:00+00,All,0,325,9,309,7
2020/07/01 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/01 05:00:00+00,Northern,0,3,0,3,0
2020/07/01 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/01 05:00:00+00,Southern Health-Santé Sud,0,40,2,37,1
2020/07/01 05:00:00+00,Winnipeg,0,236,8,223,5
2020/07/01 05:00:00+00,All,0,325,9,309,7
2020/07/02 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/02 05:00:00+00,Northern,0,3,0,3,0
2020/07/02 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/02 05:00:00+00,Southern Health-Santé Sud,0,40,2,37,1
2020/07/02 05:00:00+00,Winnipeg,0,236,7,224,5
2020/07/02 05:00:00+00,All,0,325,8,310,7
2020/07/03 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/03 05:00:00+00,Northern,0,3,0,3,0
2020/07/03 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/03 05:00:00+00,Southern Health-Santé Sud,0,40,0,39,1
2020/07/03 05:00:00+00,Winnipeg,0,236,7,224,5
2020/07/03 05:00:00+00,All,0,325,6,312,7
2020/07/04 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/04 05:00:00+00,Northern,0,3,0,3,0
2020/07/04 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/04 05:00:00+00,Southern Health-Santé Sud,0,40,0,39,1
2020/07/04 05:00:00+00,Winnipeg,0,236,5,226,5
2020/07/04 05:00:00+00,All,0,325,4,314,7
2020/07/05 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/05 05:00:00+00,Northern,0,3,0,3,0
2020/07/05 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/05 05:00:00+00,Southern Health-Santé Sud,0,40,0,39,1
2020/07/05 05:00:00+00,Winnipeg,0,236,4,227,5
2020/07/05 05:00:00+00,All,0,325,3,315,7
2020/07/06 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/06 05:00:00+00,Northern,0,3,0,3,0
2020/07/06 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/06 05:00:00+00,Southern Health-Santé Sud,0,40,0,39,1
2020/07/06 05:00:00+00,Winnipeg,0,236,4,227,5
2020/07/06 05:00:00+00,All,0,325,3,315,7
2020/07/07 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/07 05:00:00+00,Northern,0,3,0,3,0
2020/07/07 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/07 05:00:00+00,Southern Health-Santé Sud,0,40,0,41,1
2020/07/07 05:00:00+00,Winnipeg,0,236,4,227,5
2020/07/07 05:00:00+00,All,0,325,1,317,7
2020/07/08 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/08 05:00:00+00,Northern,0,3,0,3,0
2020/07/08 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/08 05:00:00+00,Southern Health-Santé Sud,0,40,0,41,1
2020/07/08 05:00:00+00,Winnipeg,0,236,3,228,5
2020/07/08 05:00:00+00,All,0,325,0,318,7
2020/07/09 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/09 05:00:00+00,Northern,0,3,0,3,0
2020/07/09 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/09 05:00:00+00,Southern Health-Santé Sud,0,40,0,41,1
2020/07/09 05:00:00+00,Winnipeg,0,236,1,230,5
2020/07/09 05:00:00+00,All,0,325,0,320,7
2020/07/10 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/10 05:00:00+00,Northern,0,3,0,3,0
2020/07/10 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/10 05:00:00+00,Southern Health-Santé Sud,0,40,0,41,1
2020/07/10 05:00:00+00,Winnipeg,0,236,0,231,5
2020/07/10 05:00:00+00,All,0,325,0,321,7
2020/07/11 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/11 05:00:00+00,Northern,0,3,0,3,0
2020/07/11 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/11 05:00:00+00,Southern Health-Santé Sud,0,40,0,41,1
2020/07/11 05:00:00+00,Winnipeg,0,236,0,231,5
2020/07/11 05:00:00+00,All,0,325,0,321,7
2020/07/12 05:00:00+00,Interlake-Eastern,0,20,0,20,0
2020/07/12 05:00:00+00,Northern,0,3,0,3,0
2020/07/12 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/12 05:00:00+00,Southern Health-Santé Sud,0,40,0,41,1
2020/07/12 05:00:00+00,Winnipeg,0,236,0,232,5
2020/07/12 05:00:00+00,All,0,325,0,322,7
2020/07/13 05:00:00+00,Interlake-Eastern,1,21,1,20,0
2020/07/13 05:00:00+00,Northern,0,3,0,3,0
2020/07/13 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/13 05:00:00+00,Southern Health-Santé Sud,2,42,0,42,1
2020/07/13 05:00:00+00,Winnipeg,2,238,1,232,5
2020/07/13 05:00:00+00,All,5,330,0,323,7
2020/07/14 05:00:00+00,Interlake-Eastern,0,21,1,20,0
2020/07/14 05:00:00+00,Northern,0,3,0,3,0
2020/07/14 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/14 05:00:00+00,Southern Health-Santé Sud,0,42,0,42,1
2020/07/14 05:00:00+00,Winnipeg,0,238,1,232,5
2020/07/14 05:00:00+00,All,0,330,0,323,7
2020/07/15 05:00:00+00,Interlake-Eastern,0,21,1,20,0
2020/07/15 05:00:00+00,Northern,0,3,0,3,0
2020/07/15 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/15 05:00:00+00,Southern Health-Santé Sud,1,43,0,43,1
2020/07/15 05:00:00+00,Winnipeg,0,238,1,232,5
2020/07/15 05:00:00+00,All,1,331,0,324,7
2020/07/16 05:00:00+00,Interlake-Eastern,5,26,6,20,0
2020/07/16 05:00:00+00,Northern,0,3,0,3,0
2020/07/16 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/16 05:00:00+00,Southern Health-Santé Sud,0,43,0,43,1
2020/07/16 05:00:00+00,Winnipeg,0,238,1,232,5
2020/07/16 05:00:00+00,All,5,336,5,324,7
2020/07/17 05:00:00+00,Interlake-Eastern,1,27,7,20,0
2020/07/17 05:00:00+00,Northern,0,3,0,3,0
2020/07/17 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/17 05:00:00+00,Southern Health-Santé Sud,0,43,0,43,1
2020/07/17 05:00:00+00,Winnipeg,0,238,1,232,5
2020/07/17 05:00:00+00,All,1,337,6,324,7
2020/07/18 05:00:00+00,Interlake-Eastern,2,29,9,20,0
2020/07/18 05:00:00+00,Northern,0,3,0,3,0
2020/07/18 05:00:00+00,Prairie Mountain Health,0,26,0,26,1
2020/07/18 05:00:00+00,Southern Health-Santé Sud,1,44,0,43,1
2020/07/18 05:00:00+00,Winnipeg,2,240,3,232,5
2020/07/18 05:00:00+00,All,5,342,11,324,7
2020/07/19 05:00:00+00,Interlake-Eastern,8,37,17,20,0
2020/07/19 05:00:00+00,Northern,0,3,0,3,0
2020/07/19 05:00:00+00,Prairie Mountain Health,3,29,2,26,1
2020/07/19 05:00:00+00,Southern Health-Santé Sud,0,44,0,43,1
2020/07/19 05:00:00+00,Winnipeg,2,242,4,233,5
2020/07/19 05:00:00+00,All,13,355,23,325,7
2020/07/20 05:00:00+00,Interlake-Eastern,7,44,24,20,0
2020/07/20 05:00:00+00,Northern,0,3,0,3,0
2020/07/20 05:00:00+00,Prairie Mountain Health,2,31,4,26,1
2020/07/20 05:00:00+00,Southern Health-Santé Sud,1,45,1,43,1
2020/07/20 05:00:00+00,Winnipeg,2,244,6,233,5
2020/07/20 05:00:00+00,All,12,367,35,325,7
2020/07/21 05:00:00+00,Interlake-Eastern,2,46,25,21,0
2020/07/21 05:00:00+00,Northern,0,3,0,3,0
2020/07/21 05:00:00+00,Prairie Mountain Health,2,33,6,26,1
2020/07/21 05:00:00+00,Southern Health-Santé Sud,3,48,4,43,1
2020/07/21 05:00:00+00,Winnipeg,0,244,5,234,5
2020/07/21 05:00:00+00,All,7,374,40,327,7
2020/07/22 05:00:00+00,Interlake-Eastern,3,49,28,21,0
2020/07/22 05:00:00+00,Northern,0,3,0,3,0
2020/07/22 05:00:00+00,Prairie Mountain Health,0,33,6,26,1
2020/07/22 05:00:00+00,Southern Health-Santé Sud,2,50,6,43,1
2020/07/22 05:00:00+00,Winnipeg,1,245,6,234,5
2020/07/22 05:00:00+00,All,6,380,46,327,7
2020/07/23 05:00:00+00,Interlake-Eastern,1,50,29,21,0
2020/07/23 05:00:00+00,Northern,0,3,0,3,0
2020/07/23 05:00:00+00,Prairie Mountain Health,1,34,7,26,1
2020/07/23 05:00:00+00,Southern Health-Santé Sud,3,53,9,43,1
2020/07/23 05:00:00+00,Winnipeg,0,245,6,234,5
2020/07/23 05:00:00+00,All,5,385,51,327,7
2020/07/24 05:00:00+00,Interlake-Eastern,0,50,27,23,0
2020/07/24 05:00:00+00,Northern,0,3,0,3,0
2020/07/24 05:00:00+00,Prairie Mountain Health,3,37,10,26,1
2020/07/24 05:00:00+00,Southern Health-Santé Sud,3,56,12,43,1
2020/07/24 05:00:00+00,Winnipeg,0,245,6,234,5
2020/07/24 05:00:00+00,All,6,391,55,329,7
2020/07/25 05:00:00+00,Interlake-Eastern,1,51,28,23,0
2020/07/25 05:00:00+00,Northern,0,3,0,3,0
2020/07/25 05:00:00+00,Prairie Mountain Health,0,37,10,26,1
2020/07/25 05:00:00+00,Southern Health-Santé Sud,1,57,12,43,2
2020/07/25 05:00:00+00,Winnipeg,3,248,8,235,5
2020/07/25 05:00:00+00,All,5,396,58,330,8
2020/07/26 05:00:00+00,Interlake-Eastern,2,53,26,27,0
2020/07/26 05:00:00+00,Northern,0,3,0,3,0
2020/07/26 05:00:00+00,Prairie Mountain Health,1,38,11,26,1
2020/07/26 05:00:00+00,Southern Health-Santé Sud,1,58,13,43,2
2020/07/26 05:00:00+00,Winnipeg,1,249,9,235,5
2020/07/26 05:00:00+00,All,5,401,59,334,8
2020/07/27 05:00:00+00,Interlake-Eastern,2,55,23,32,0
2020/07/27 05:00:00+00,Northern,0,3,0,3,0
2020/07/27 05:00:00+00,Prairie Mountain Health,1,39,12,26,1
2020/07/27 05:00:00+00,Southern Health-Santé Sud,0,58,13,43,2
2020/07/27 05:00:00+00,Winnipeg,0,249,6,238,5
2020/07/27 05:00:00+00,All,3,404,54,342,8
2020/07/28 05:00:00+00,Interlake-Eastern,2,57,21,36,0
2020/07/28 05:00:00+00,Northern,0,3,0,3,0
2020/07/28 05:00:00+00,Prairie Mountain Health,0,39,11,27,1
2020/07/28 05:00:00+00,Southern Health-Santé Sud,0,58,12,44,2
2020/07/28 05:00:00+00,Winnipeg,1,250,7,238,5
2020/07/28 05:00:00+00,All,3,407,51,348,8
2020/07/29 05:00:00+00,Interlake-Eastern,0,57,16,41,0
2020/07/29 05:00:00+00,Northern,0,3,0,3,0
2020/07/29 05:00:00+00,Prairie Mountain Health,2,41,12,28,1
2020/07/29 05:00:00+00,Southern Health-Santé Sud,0,58,10,46,2
2020/07/29 05:00:00+00,Winnipeg,1,251,8,238,5
2020/07/29 05:00:00+00,All,3,410,46,356,8
2020/07/30 05:00:00+00,Interlake-Eastern,3,60,16,44,0
2020/07/30 05:00:00+00,Northern,0,3,0,3,0
2020/07/30 05:00:00+00,Prairie Mountain Health,2,43,6,36,1
2020/07/30 05:00:00+00,Southern Health-Santé Sud,0,58,6,50,2
2020/07/30 05:00:00+00,Winnipeg,1,252,9,238,5
2020/07/30 05:00:00+00,All,6,416,37,371,8
2020/07/31 05:00:00+00,Interlake-Eastern,1,61,13,48,0
2020/07/31 05:00:00+00,Northern,0,3,0,3,0
2020/07/31 05:00:00+00,Prairie Mountain Health,1,44,6,37,1
2020/07/31 05:00:00+00,Southern Health-Santé Sud,3,61,7,52,2
2020/07/31 05:00:00+00,Winnipeg,1,253,9,239,5
2020/07/31 05:00:00+00,All,6,422,35,379,8
2020/08/01 05:00:00+00,Interlake-Eastern,0,61,13,48,0
2020/08/01 05:00:00+00,Northern,0,3,0,3,0
